count(twitterstatusid),userid
1,21843475
1,21866880
1,21888315
1,21895768
11,21906070
1,21908201
1,21921535
6,21926367
1,21942536
2,21943677
11,21965432
1,21966085
3,21966773
1,21990961
3,21994669
1,22032014
2,22037443
2,22040193
1,22043079
1,22059613
1,22071301
2,22083639
1,22115818
1,22143749
1,22162084
1,22165943
2,22170416
9,22177212
4,22217443
1,22272119
1,22277773
1,22285691
2,22303562
1,22342990
1,22385182
1,22388950
1,22406619
1,22411977
1,22429979
1,22438396
1,22467092
1,22505100
2,22523182
3,22526181
1,22535527
1,22550877
1,22587371
2,22588009
2,22627332
2,22661099
3,22683616
1,22733169
1,22737934
1,22805192
1,22822556
1,22857292
1,22861762
1,22866294
2,22867670
1,22869375
1,22896405
3,22902559
1,22924662
1,22994201
1,22994667
3,23001903
1,23019740
3,23023076
1,23029048
1,23037924
4,23047147
1,23051490
1,23063106
1,23098254
3,23110031
1,23150206
1,23152315
3,23153779
1,23163870
1,23195683
1,23203267
1,23208307
1,23216311
1,23255392
4,23268382
1,23298323
1,23326708
1,23331853
3,23342386
1,23345913
2,23354123
1,23417900
1,23421460
2,23433605
1,23514769
4,23529048
1,23552482
1,23587433
1,23617145
1,23636341
1,23653909
1,23694417
1,23716812
1,23723232
1,23738836
1,23743467
2,23856262
1,23891732
7,23897285
2,23899355
1,23915016
7,23942930
2,24027379
1,24093660
1,24105656
1,24110124
2,24127675
1,24214080
5,24215748
1,24216744
3,24247106
1,24309304
2,24321039
1,24365499
2,24388970
1,24410020
6,24426342
1,24432180
2,24456466
1,24484132
3215,24500507
1,24512464
1,24548835
1,24568595
1,24579609
2,24581337
1,24645354
8,24655516
1,24681456
1,24708664
4,24716002
1,24728591
2,24733117
2,24791498
1,24806543
1,24808120
2,24844633
1,24850085
1,24863992
1,24876971
1,24900999
1,24955570
1,24972394
7,25002819
1,25003653
1,25010768
1,25055298
1,25068198
1,25100691
1,25108095
1,25221672
1,25230002
1,25240945
1,25296560
1,25310766
1,25343203
1,25348861
1,25359046
1,25372319
12,25373969
1,25442184
1,25462610
3,25477701
12,25511878
1,25532306
1,25562002
4,25579796
1,25608267
1,25654412
2,25660988
1,25692368
1,25718382
4,25788029
2,25804414
2,25808342
1,25853476
1,25890025
1,25904260
1,25975498
1,25982774
1,26012598
2,26019382
1,26050500
1,26063301
1,26065921
3,26077653
1,26140039
3,26201350
3,26218305
1,26293576
1,26359151
1,26360291
1,26383162
1,26413419
2,26452633
1,26459660
2,26460275
3,26528766
1,26534135
1,26559241
1,26623250
3,26643566
1,26666953
1,26682808
3193,26690738
1,26714962
5,26760308
1,26812010
1,26846432
3,26858784
1,26885303
1,26887881
3116,26974147
1,26989016
13,26991187
1,27090879
1,27104707
1,27125886
1058,27162297
1,27164420
1,27192557
1,27252917
1,27276155
1,27426728
1,27434508
2,27445002
1,27446437
1,27447768
1,27466214
1,27470337
1,27523651
1,27547277
2,27573850
2,27587178
1,27595667
1,27600238
1,27607909
1,27663121
1,27675801
3,27676513
3,27835263
1,27846233
1,27909529
1,27938485
1,27955861
1,27991531
1,27998839
1,28058517
1,28066028
1,28068352
2,28087968
1,28090436
1,28091881
12,28094219
1,28228305
4,28243015
3,28245731
1,28263488
1,28276016
1,28289002
1,28336909
1,28364222
1,28403276
1,28416607
3227,28449623
1,28467579
5,28473012
1,28479897
3,28491204
1,28511751
1,28518778
1,28548041
1,28608767
1,28610730
3196,28634143
1,28659977
1,28667682
1,28688489
1,28689739
12,28740137
1,28768235
2,28779194
1,28818582
1,28838306
1,28899643
3176,28919243
1,28926279
1,28941949
1,28962172
1,28967984
1,29021762
1,29026489
1,29037332
1,29102678
1,29174974
1,29222939
2,29270341
1,29272019
1,29327002
5,29383667
1,29409786
1,29453773
1,29463046
3,29476670
1,29485690
1,29525081
1,29734681
2,29768127
1,29774065
1,29823938
1,29834732
1,29835209
2,29854321
1,29893075
2,29920702
1,30008363
1,30032855
1,30122242
1,30131751
1,30158766
1,30177742
1,30179325
1,30207256
1,30239239
2,30281809
1,30289685
1,30292405
7,30372129
1,30386233
1,30430109
2,30447465
5,30532868
1,30534986
1,30593431
1,30650096
1,31050599
23,31052177
2,31057963
1,31065161
1,31107377
2,31124511
1,31148387
